Name,Coverage
BK11_02,94.7896
BK11_02,101.3763
BK11_02,112.2986
BK11_02,95.2626
BK11_02,138.9143
BK11_02,95.6243
BK11_02,117.1403
BK11_02,115.3054
BK11_02,94.6732
BK11_02,106.2029
BK11_02,96.0845
BK11_02,96.0244
BK11_02,110.24
BK11_02,94.0575
BK11_02,106.7409
BK11_02,110.6521
BK11_02,110.5479
BK11_02,100.2449
BK11_02,102.5106
BK11_02,102.2825
BK11_02,107.2684
BK11_02,106.1272
BK11_02,89.6175
BK11_02,90.8194
BK11_02,96.6272
BK11_02,74.3382
BK11_02,84.9094
BK11_02,99.0258
BK11_02,81.8244
BK11_02,98.9865
BK11_02,118.1091
BK11_02,91.9653
BK11_02,124.1259
BK11_02,108.7422
BK11_02,91.1903
BK11_02,87.3458
BK11_02,85.2543
BK11_02,106.7328
BK11_02,120.8897
BK11_02,212.3541
BK11_02,145.1114
BK11_02,116.5736
BK11_02,152.2183
BK11_02,181.9491
BK11_02,99.6542
BK11_02,101.9273
BK11_02,104.0352
BK11_02,95.9319
BK11_02,151.2059
BK11_02,113.1834
BK11_02,101.2293
BK11_02,112.3316
BK11_02,95.4754
BK11_02,229.6632
BK11_02,109.4199
BK11_02,106.3092
BK11_02,116.132
BK11_02,134.4609
BK11_02,116.9006
BK11_02,133.6754
BK11_02,119.0784
BK11_02,122.7046
BK11_02,108.2666
BK11_02,89.547
BK11_02,108.795
BK11_02,124.3057
BK11_02,104.1673
BK11_02,115.2562
BK11_02,103.1235
BK11_02,94.5265
BK11_02,110.0827
BK11_02,107.2094
BK11_02,225.036
BK11_02,83.9365
BK11_02,94.212
BK11_02,100.3178
BK11_02,93.9917
BK11_02,84.3544
BK11_02,167.0229
BK11_02,159.3239
BK11_02,112.2694
BK11_02,111.2199
BK11_02,148.9807
BK11_02,94.8723
BK11_02,95.1532
BK11_02,82.5398
BK11_02,227.7857
BK11_02,119.0183
BK11_02,111.1385
BK11_02,124.4683
BK11_02,160.0644
BK11_02,106.9386
BK11_02,190.8701
BK11_02,87.7244
BK11_02,514.2684
BK11_02,83.3935
BK11_02,199.0615
BK11_02,207.3711
BK11_02,86.2226
BK11_02,110.3816
BK11_02,91.6272
BK11_02,127.1517
BK11_02,94.8845
BK11_02,80.1119
BK11_02,165.4091
BK11_02,112.3451
BK11_02,106.7675
BK11_02,131.6067
BK11_02,100.4442
BK11_02,285.0171
BK11_02,108.5128
BK11_02,101.9707
BK11_02,151.1816
BK11_02,107.172
BK11_02,91.4953
BK11_02,113.9549
BK11_02,89.5457
BK11_02,8.6367
BK11_02,77.3895
BK11_02,89.1027
BK11_02,83.4877
BK11_02,167.1108
BK11_02,96.5713
BK11_02,87.5435
BK11_02,126.8629
BK11_02,87.4875
BK11_02,78.6569
BK11_02,91.2706
BK11_02,96.2745
BK11_02,84.3876
BK11_02,130.1703
BK11_02,81.8543
BK11_02,89.7401
BK11_02,97.9133
BK11_02,129.1355
BK11_02,87.7316
BK11_02,115.4398
BK11_02,75.1708
BK11_02,114.6663
BK11_02,95.7172
BK11_02,90.9566
BK11_02,88.0264
BK11_02,181.7078
