,Name,Coverage,,,
78,BK11_02,297.6095,1.176413581,,
79,BK11_02,298.7625,1.185465678,,
80,BK11_02,302.8826,1.217812202,,
81,BK11_02,307.7933,1.256365653,,
82,BK11_02,308.2938,1.260295032,,
83,BK11_02,311.1698,1.282874242,,
84,BK11_02,311.9128,1.288707467,,
85,BK11_02,315.8757,1.319819828,,
86,BK11_02,320.774,1.358275928,,
87,BK11_02,328.6369,1.420006829,,
88,BK11_02,328.8811,1.42192402,,
89,BK11_02,332.8184,1.452835398,,
90,BK11_02,332.9674,1.454005184,,
91,BK11_02,336.7866,1.48398937,,
92,BK11_02,341.0684,1.517605385,,
93,BK11_02,341.6518,1.522185605,,
94,BK11_02,359.9136,1.665557307,,
95,BK11_02,364.1337,1.698688922,,
96,BK11_02,364.439,1.701085804,,
97,BK11_02,364.8666,1.704442852,,
98,BK11_02,368.8317,1.735572485,,
99,BK11_02,393.2062,1.92693443,,
100,BK11_02,396.2534,1.950857716,,
101,BK11_02,406.769,2.033414718,,
102,BK11_02,409.2449,2.05285278,,
103,BK11_02,411.9541,2.074122459,,
104,BK11_02,414.3992,2.093318713,,
105,BK11_02,415.4598,2.101645385,,
106,BK11_02,430.4227,2.219117729,,
107,BK11_02,434.5578,2.251582017,,
108,BK11_02,434.7177,2.252837377,,
109,BK11_02,444.4032,2.328877341,,
110,BK11_02,454.5684,2.408683386,,
111,BK11_02,456.8467,2.426570109,,
112,BK11_02,459.3353,2.446107877,,
113,BK11_02,464.2093,2.4843732,,
114,BK11_02,469.3995,2.525120981,,
115,BK11_02,486.8039,2.661761315,,
116,BK11_02,499.8325,2.764047648,,
117,BK11_02,505.6205,2.809488701,,
118,BK11_02,507.0102,2.820399107,,
119,BK11_02,527.1152,2.978241602,,
120,BK11_02,542.3805,3.098088061,,
121,BK11_02,582.0489,3.409521,,
122,BK11_02,652.8261,3.96518625,,
123,BK11_02,752.3458,4.746506209,,
124,BK11_02,1002.8257,6.713000734,,
125,BK11_02,1034.5967,6.962431916,,
126,BK11_02,1055.8312,7.129142011,,
127,BK11_02,1235.0973,8.53654358,,
128,BK11_02,1335.0658,9.321387026,,
129,BK11_02,1382.7132,9.695462356,,
6042,BK11_02,115.5567,-0.252866111,,
6043,BK11_02,100.2334,-0.373167922,,
6044,BK11_02,104.0208,-0.343433395,,
6045,BK11_02,124.132,-0.185542224,,
6046,BK11_02,103.0706,-0.350893327,,
6047,BK11_02,97.5493,-0.394240543,,
6048,BK11_02,109.8737,-0.297482818,,
6049,BK11_02,108.0728,-0.311621518,,
6050,BK11_02,97.0493,-0.398165997,,
6051,BK11_02,112.3049,-0.278395692,,
6052,BK11_02,108.9497,-0.304737057,,
6053,BK11_02,110.6669,-0.291255479,,
6054,BK11_02,107.2935,-0.31773973,,
6055,BK11_02,113.062,-0.27245177,,
6056,BK11_02,104.0178,-0.343456948,,
6057,BK11_02,103.7854,-0.345281499,,
6058,BK11_02,97.6493,-0.393455452,,
6059,BK11_02,103.48,-0.347679166,,
6060,BK11_02,103.7805,-0.345319968,,
6061,BK11_02,94.5029,-0.418157547,,
6062,BK11_02,113.1598,-0.271683951,,
6063,BK11_02,83.1592,-0.507215887,,
6064,BK11_02,113.5865,-0.268333969,,
6065,BK11_02,108.2874,-0.309936713,,
6066,BK11_02,102.0789,-0.358679072,,
6067,BK11_02,91.936,-0.438310042,,
6068,BK11_02,104.8751,-0.336726365,,
6069,BK11_02,115.7466,-0.251375224,,
6070,BK11_02,322.1866,1.36936612,,
6071,BK11_02,116.0117,-0.249293948,,
6072,BK11_02,91.5341,-0.441465322,,
6073,BK11_02,97.61,-0.393763993,,
6074,BK11_02,115.3749,-0.254293406,,
6075,BK11_02,94.3891,-0.419050981,,
6076,BK11_02,126.6654,-0.165652735,,
6077,BK11_02,102.0325,-0.359043354,,
6078,BK11_02,145.9637,-0.014143567,,
6079,BK11_02,121.9402,-0.202749843,,
6080,BK11_02,93.6265,-0.425038083,,
6081,BK11_02,98.6138,-0.385883252,,
6082,BK11_02,116.4968,-0.245485473,,
6083,BK11_02,94.0384,-0.421804294,,
6084,BK11_02,94.2589,-0.420073169,,
6085,BK11_02,94.7512,-0.416208167,,
6086,BK11_02,114.1201,-0.264144725,,
6087,BK11_02,101.7752,-0.361063393,,
6088,BK11_02,101.2412,-0.365255777,,
6089,BK11_02,108.3539,-0.309414628,,
6090,BK11_02,105.1999,-0.33417639,,
6091,BK11_02,100.7137,-0.369397131,,
6092,BK11_02,103.6976,-0.345970808,,
6093,BK11_02,96.8078,-0.400061991,,
6094,BK11_02,102.0506,-0.358901253,,
6095,BK11_02,108.2906,-0.30991159,,
6096,BK11_02,102.1327,-0.358256693,,
6097,BK11_02,94.4428,-0.418629387,,
6098,BK11_02,117.6051,-0.236784312,,
6099,BK11_02,97.1312,-0.397523007,,
6100,BK11_02,105.9949,-0.327934918,,
6101,BK11_02,98.2758,-0.388536859,,
6102,BK11_02,96.1906,-0.404907571,,
6103,BK11_02,133.1925,-0.114409077,,
6104,BK11_02,101.3831,-0.364141734,,
6105,BK11_02,114.4477,-0.261572768,,
6106,BK11_02,105.9305,-0.328440517,,
6107,BK11_02,80.2498,-0.530057317,,
6108,BK11_02,112.4292,-0.277419824,,
6109,BK11_02,95.7294,-0.408528409,,
6110,BK11_02,97.2965,-0.396225252,,
6111,BK11_02,108.0188,-0.312045467,,
6112,BK11_02,104.279,-0.341406291,,
6113,BK11_02,92.9167,-0.430610657,,
6114,BK11_02,109.8705,-0.297507941,,
6115,BK11_02,160.2283,0.097846488,,
6116,BK11_02,95.5115,-0.410239122,,
6117,BK11_02,90.7762,-0.447415524,,
6118,BK11_02,117.4073,-0.238337222,,
6119,BK11_02,103.8583,-0.344709167,,
6120,BK11_02,113.1548,-0.271723206,,
6121,BK11_02,102.7132,-0.353699242,,
6122,BK11_02,122.6856,-0.196897777,,
6123,BK11_02,109.9954,-0.296527363,,
6124,BK11_02,116.9264,-0.242112723,,
6125,BK11_02,109.8334,-0.29779921,,
6126,BK11_02,92.2582,-0.43578048,,
6127,BK11_02,93.9417,-0.422563477,,
6128,BK11_02,100.5097,-0.370998716,,
6129,BK11_02,111.0969,-0.287879588,,
6130,BK11_02,91.8598,-0.438908281,,
6131,BK11_02,100.1785,-0.373598937,,
6132,BK11_02,91.449,-0.442133434,,
6133,BK11_02,99.6925,-0.377414478,,
6134,BK11_02,103.6183,-0.346593385,,
6135,BK11_02,99.2185,-0.381135808,,
6136,BK11_02,108.4853,-0.308383018,,
6137,BK11_02,112.1158,-0.279880299,,
6138,BK11_02,98.1947,-0.389173567,,
6139,BK11_02,104.4521,-0.340047299,,
6140,BK11_02,99.4721,-0.379144818,,
6141,BK11_02,136.0164,-0.092238899,,
6142,BK11_02,105.9902,-0.327971818,,
6143,BK11_02,100.4857,-0.371187138,,
6144,BK11_02,108.3719,-0.309273311,,
6145,BK11_02,104.2135,-0.341920525,,
6146,BK11_02,96.5726,-0.401908524,,
6147,BK11_02,116.2435,-0.247474108,,
6148,BK11_02,87.6763,-0.471752553,,
6149,BK11_02,105.2775,-0.33356716,,
6150,BK11_02,105.214,-0.334065692,,
6151,BK11_02,89.3407,-0.458685502,,
6152,BK11_02,91.6543,-0.440521643,,
6153,BK11_02,93.9167,-0.422759749,,
6154,BK11_02,100.1761,-0.373617779,,
6155,BK11_02,107.0492,-0.319657707,,
6156,BK11_02,95.8353,-0.407696998,,
6157,BK11_02,82.2602,-0.514273853,,
6158,BK11_02,97.7642,-0.392553383,,
6159,BK11_02,107.9497,-0.312587965,,
6160,BK11_02,121.5501,-0.205812482,,
6161,BK11_02,93.8539,-0.423252786,,
6162,BK11_02,107.6684,-0.314796425,,
6163,BK11_02,115.6464,-0.252161885,,
6164,BK11_02,99.7406,-0.377036849,,
6165,BK11_02,132.8403,-0.117174166,,
6166,BK11_02,108.5815,-0.307627761,,
6167,BK11_02,102.827,-0.352805808,,
6168,BK11_02,113.4832,-0.269144968,,
6169,BK11_02,106.6265,-0.322976285,,
6170,BK11_02,85.824,-0.486294789,,
6171,BK11_02,104.737,-0.337810575,,
6172,BK11_02,107.282,-0.317830015,,
6173,BK11_02,108.7995,-0.305916263,,
6174,BK11_02,151.1281,0.02640166,,
6175,BK11_02,97.7715,-0.392496071,,
6176,BK11_02,94.1754,-0.42072872,,
6177,BK11_02,112.4269,-0.277437881,,
6178,BK11_02,99.6549,-0.377709672,,
6179,BK11_02,101.5565,-0.362780386,,
6180,BK11_02,95.9145,-0.407075206,,
6181,BK11_02,110.5289,-0.292338904,,
6182,BK11_02,97.0466,-0.398187194,,
6183,BK11_02,104.3762,-0.340643182,,
6184,BK11_02,100.5542,-0.370649351,,
6185,BK11_02,93.9725,-0.422321669,,
6186,BK11_02,91.346,-0.442942077,,
6187,BK11_02,104.7565,-0.337657482,,
6188,BK11_02,104.6148,-0.338769956,,
6189,BK11_02,114.9496,-0.257632397,,
6190,BK11_02,143.0756,-0.036817773,,
6191,BK11_02,94.9871,-0.414356138,,
6192,BK11_02,119.8904,-0.218842633,,
6193,BK11_02,109.3929,-0.301257535,,
6194,BK11_02,135.7679,-0.09418985,,
6195,BK11_02,99.0709,-0.382294602,,
6196,BK11_02,98.6916,-0.385272451,,
6197,BK11_02,109.6722,-0.299064776,,
6198,BK11_02,135.8559,-0.09349897,,
6199,BK11_02,108.2142,-0.310511399,,
6200,BK11_02,116.1766,-0.247999334,,
6201,BK11_02,99.8422,-0.376239197,,
6202,BK11_02,113.0866,-0.272258638,,
6203,BK11_02,103.3307,-0.348851306,,
6204,BK11_02,94.9668,-0.414515511,,
6205,BK11_02,126.5478,-0.166576002,,
6206,BK11_02,118.2282,-0.231892412,,
6207,BK11_02,100.6041,-0.370257591,,
6208,BK11_02,148.2921,0.004136486,,
6209,BK11_02,84.4859,-0.496800088,,
6210,BK11_02,93.5595,-0.425564094,,
6211,BK11_02,134.3825,-0.105066497,,
6212,BK11_02,101.6118,-0.362346231,,
6213,BK11_02,100.3326,-0.372389112,,
6214,BK11_02,131.3364,-0.128981146,,
6215,BK11_02,101.0041,-0.367117228,,
6216,BK11_02,147.9031,0.001082483,,
6217,BK11_02,105.3252,-0.333192671,,
6218,BK11_02,111.644,-0.283584357,,
6219,BK11_02,88.1321,-0.468174109,,
6220,BK11_02,77.8139,-0.549181343,,
6221,BK11_02,108.6436,-0.30714022,,
6222,BK11_02,103.6076,-0.34667739,,
6223,BK11_02,101.2194,-0.365426927,,
6224,BK11_02,109.3953,-0.301238693,,
6225,BK11_02,113.7629,-0.266949069,,
6226,BK11_02,92.8577,-0.43107386,,
6227,BK11_02,89.9259,-0.454091151,,
6228,BK11_02,110.866,-0.289692363,,
6229,BK11_02,106.2289,-0.326097806,,
6230,BK11_02,91.1449,-0.444520895,,
6231,BK11_02,104.3175,-0.341104031,,
6232,BK11_02,113.4187,-0.269651351,,
6233,BK11_02,93.8352,-0.423399598,,
6234,BK11_02,97.1724,-0.39719955,,
6235,BK11_02,97.2626,-0.396491398,,
6236,BK11_02,106.794,-0.321661258,,
6237,BK11_02,117.2815,-0.239324866,,
6238,BK11_02,113.563,-0.268518465,,
6239,BK11_02,115.1918,-0.255730907,,
6240,BK11_02,105.5647,-0.331312379,,
6241,BK11_02,147.5067,-0.002029617,,
6242,BK11_02,90.3606,-0.450678362,,
6243,BK11_02,123.043,-0.194091862,,
6244,BK11_02,95.605,-0.409505062,,
6245,BK11_02,99.2011,-0.381272414,,
6246,BK11_02,114.9968,-0.257261834,,
6247,BK11_02,137.2756,-0.082353036,,
6248,BK11_02,119.2239,-0.224075263,,
6249,BK11_02,120.2903,-0.215703055,,
6250,BK11_02,122.8966,-0.195241235,,
6251,BK11_02,121.2623,-0.208071973,,
6252,BK11_02,98.7857,-0.384533681,,
6253,BK11_02,98.8528,-0.384006885,,
6254,BK11_02,107.4567,-0.316458462,,
6255,BK11_02,114.5087,-0.261093862,,
6256,BK11_02,99.9905,-0.375074907,,
6257,BK11_02,97.1541,-0.397343221,,
6258,BK11_02,116.4477,-0.245870953,,
6259,BK11_02,108.594,-0.307529625,,
6260,BK11_02,95.8015,-0.407962359,,
6261,BK11_02,97.2108,-0.396898075,,
6262,BK11_02,93.1045,-0.429136257,,
6263,BK11_02,109.9165,-0.2971468,,
6264,BK11_02,87.372,-0.474141584,,
6265,BK11_02,102.5826,-0.35472457,,
6266,BK11_02,90.4455,-0.45001182,,
6267,BK11_02,106.4955,-0.324004754,,
6268,BK11_02,113.8788,-0.266039149,,
6269,BK11_02,113.9855,-0.265201457,,
6270,BK11_02,113.5328,-0.268755563,,
6271,BK11_02,110.6532,-0.291363036,,
6272,BK11_02,99.8079,-0.376508483,,
6273,BK11_02,91.5437,-0.441389953,,
6274,BK11_02,109.5766,-0.299815323,,
6275,BK11_02,108.2338,-0.310357522,,
6276,BK11_02,118.8369,-0.227113564,,
6277,BK11_02,101.405,-0.363969799,,
6278,BK11_02,111.7149,-0.283027728,,
6279,BK11_02,105.6267,-0.330825623,,
6280,BK11_02,102.5418,-0.355044887,,
6281,BK11_02,88.0812,-0.46857372,,
6282,BK11_02,109.1,-0.303557066,,
6283,BK11_02,86.3387,-0.482253926,,
6284,BK11_02,88.7895,-0.463012922,,
6285,BK11_02,99.9569,-0.375338698,,
6286,BK11_02,95.6393,-0.409235776,,
6287,BK11_02,101.7544,-0.361226692,,
6288,BK11_02,82.673,-0.511032998,,
6289,BK11_02,121.4793,-0.206368326,,
6290,BK11_02,171.4106,0.185637691,,
6291,BK11_02,111.1122,-0.28775947,,
6292,BK11_02,214.2821,0.522217872,,
6293,BK11_02,95.049,-0.413870167,,
6294,BK11_02,91.7281,-0.439942246,,
6295,BK11_02,91.6578,-0.440494164,,
6296,BK11_02,107.352,-0.317280452,,
6297,BK11_02,97.0526,-0.398140089,,
6298,BK11_02,94.2639,-0.420033914,,
6299,BK11_02,99.3733,-0.379920488,,
6300,BK11_02,104.0323,-0.34334311,,
6301,BK11_02,94.0459,-0.421745412,,
6302,BK11_02,106.3247,-0.325345689,,
6303,BK11_02,103.7509,-0.345552355,,
6304,BK11_02,99.8863,-0.375892972,,
6305,BK11_02,105.1827,-0.334311426,,
6306,BK11_02,121.9746,-0.202479772,,
6307,BK11_02,291.9393,1.131897366,,
6308,BK11_02,119.0719,-0.225268601,,
6309,BK11_02,100.1304,-0.373976566,,
